A		RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD
B		S12A	S12B	S12C	S12D	S333
C		FLOW	FLOW	FLOW	FLOW	FLOW
E						
F		SIMULATED	SIMULATED	SIMULATED	SIMULATED	SIMULATED
Units		FT^3/S	FT^3/S	FT^3/S	FT^3/S	FT^3/S
Type		PER-AVER	PER-AVER	PER-AVER	PER-AVER	PER-AVER
390	25Jan1966	0.0	0.0	0.0	0.0	1215.3
391	26Jan1966	0.0	0.0	0.0	0.0	1215.3
392	27Jan1966	0.0	0.0	0.0	0.0	1215.3
393	28Jan1966	0.0	0.0	0.0	0.0	1215.3
394	29Jan1966	0.0	0.0	0.0	0.0	877.7
395	30Jan1966	0.0	0.0	0.0	0.0	877.7
396	31Jan1966	0.0	0.0	0.0	0.0	877.7
397	01Feb1966	0.0	0.0	0.0	0.0	877.7
398	02Feb1966	0.0	0.0	0.0	0.0	877.7
399	03Feb1966	0.0	0.0	0.0	0.0	877.7
400	04Feb1966	0.0	0.0	0.0	0.0	877.7
401	05Feb1966	0.0	0.0	0.0	140.1	1176.9
402	06Feb1966	0.0	0.0	0.0	187.0	1130.1
403	07Feb1966	0.0	0.0	0.0	189.6	1127.4
404	08Feb1966	0.0	0.0	0.0	178.9	1138.1
405	09Feb1966	0.0	0.0	0.0	164.8	1152.2
406	10Feb1966	0.0	0.0	0.0	153.9	1163.1
407	11Feb1966	0.0	0.0	0.0	149.1	1167.9
408	12Feb1966	0.0	0.0	0.0	522.3	1165.0
409	13Feb1966	0.0	0.0	0.0	517.1	1170.2
410	14Feb1966	0.0	0.0	0.0	519.3	1168.0
411	15Feb1966	0.0	0.0	0.0	483.7	1203.6
412	16Feb1966	0.0	0.0	0.0	463.3	1224.0
413	17Feb1966	0.0	0.0	0.0	451.3	1236.0
414	18Feb1966	0.0	0.0	0.0	443.4	1243.9
415	19Feb1966	0.0	0.0	0.0	42.9	1054.2
416	20Feb1966	0.0	0.0	0.0	0.0	1097.2
417	21Feb1966	0.0	0.0	0.0	0.0	1097.2
418	22Feb1966	0.0	0.0	0.0	111.6	985.6
419	23Feb1966	0.0	0.0	0.0	51.5	1045.7
420	24Feb1966	0.0	0.0	0.0	1.8	1095.3
421	25Feb1966	0.0	0.0	0.0	0.0	1097.2
422	26Feb1966	0.0	0.0	0.0	560.9	1150.6
423	27Feb1966	0.0	0.0	0.0	567.2	1165.9
424	28Feb1966	0.0	0.0	0.0	556.4	1183.8
425	01Mar1966	0.0	0.0	0.0	545.9	1196.8
426	02Mar1966	0.0	0.0	0.0	536.2	1210.2
427	03Mar1966	0.0	0.0	0.0	526.8	1223.0
428	04Mar1966	0.0	0.0	0.0	517.4	1236.0
429	05Mar1966	0.0	0.0	0.0	508.0	1232.0
430	06Mar1966	0.0	0.0	0.0	499.1	1246.2
431	07Mar1966	0.0	0.0	0.0	489.9	1251.0
432	08Mar1966	0.0	0.0	0.0	481.6	1259.0
433	09Mar1966	0.0	0.0	0.0	473.1	1270.2
434	10Mar1966	0.0	0.0	0.0	464.2	1277.6
435	11Mar1966	0.0	0.0	0.0	455.5	1287.7
